,Unnamed: 0,user,date,text,location,coordinates
59,59,Vil3312,Mon Jul 22 20:03:24 +0000 2019,@peaceforchange Beware USA. Pakistan's next target is United airlines. You are warned.,India,
60,60,EINAirlineNews,Mon Jul 22 20:00:19 +0000 2019,American Airlines and United Airlines Cancel More Boeing 737 MAX Flights https://t.co/HNGoc0Y7z4,"Washington, D.C.",
61,61,TrinaLarson9,Mon Jul 22 19:52:52 +0000 2019,RT @pj_at_sc: Vintage Ronald McDonald Happy Meal Car ACTION Toy MIP Onboard United Airlines UAL Premium Head Jiggles Feet Move In &amp; Out of…,California,
62,62,NewsWorldEnergy,Mon Jul 22 19:52:48 +0000 2019,RT @aaronstash: Great to see more airlines embracing sustainable aviation fuel. @united uses this much biofuel in one week at LAX. 150x mor…,"Boston, MA",
63,63,Efried97,Mon Jul 22 19:51:30 +0000 2019,@Janellias @brisasultra I've only flew united for similar reason and my dad having status with them. I have always… https://t.co/rE5ElBI7Xb,UMass  class of 2019,
64,64,CassySpringer,Mon Jul 22 19:46:50 +0000 2019,United airlines refused to let my emotional support bees fly with me! Unacceptable!!!,"Montana, USA",
65,65,Janellias,Mon Jul 22 19:44:49 +0000 2019,"@brisasultra Not that I want to defend United, but I’ve heard horror stories from a couple people the past 2 days o… https://t.co/EjwrNQw8g8",NJ,
66,66,Bunker45,Mon Jul 22 19:43:10 +0000 2019,@TuckerCarlson Tucker I am 75 year old with a cancer that is not curable. I was treated almost as bad as the doctor… https://t.co/t0gI70DmHk,"Knoxville, Tennessee",
67,67,AdvancedBiofuel,Mon Jul 22 19:39:04 +0000 2019,RT @aaronstash: Great to see more airlines embracing sustainable aviation fuel. @united uses this much biofuel in one week at LAX. 150x mor…,"Frederick, Maryland",
68,68,JonathanDMast,Mon Jul 22 19:35:04 +0000 2019,RT @Sedgwick: See @OutFrontIdeas w/@kimberlyanngeo of Sedgwick &amp; @wcmarkwalls of @safetynational 8/12 at 10AM as they host the #WCI2019 Ind…,,
69,69,KingJCM,Mon Jul 22 19:32:05 +0000 2019,Its coming down hard at work @ Newark International Airport Terminal C- United Airlines https://t.co/zWkdkTpgvA,Union City,
2,2,ketchupmilky,Tue Jul 23 23:58:24 +0000 2019,I saw how to train your dragon 3 on the United airlines entertainment page so I tried to watch it and it was like “… https://t.co/Wn878qL5bF,she/they,
